polyname,bound1,bound2,bound3,bound4,iso,adm1,adm2,thresh,loss_year,area
ifl_2013,1,1,1,1,BRA,12,9,15,8,2282.17703044
admin,1,1,1,1,BRA,12,9,15,10,59981.4393855
ifl_2013__landmark,1,1,1,1,BRA,12,9,15,14,760.985582362
landmark,1,1,1,1,BRA,12,9,30,16,38033.879066500005
ifl_2013,1,1,1,1,BRA,12,9,75,1,265505.630656
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,1,1522.45915927
ifl_2013__landmark,1,1,1,1,BRA,12,9,25,4,1522.03578098
wdpa,1,1,1,1,BRA,12,9,20,10,2279.58587919
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,7,3043.47246491
admin,1,1,1,1,BRA,12,9,20,11,12904.3671554
wdpa,1,1,1,1,BRA,12,9,0,7,2279.67748502
admin,1,1,1,1,BRA,12,9,30,4,613354.229892
admin,1,1,1,1,BRA,12,9,25,17,209504.518025
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,5,486132.913458
wdpa,1,1,1,1,BRA,12,9,75,1,5717491.89607
wdpa,1,1,1,1,BRA,12,9,50,7,19007.9380188
wdpa,1,1,1,1,BRA,12,9,50,9,3805.00862412
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,13,1354180.10794
ifl_2013__wdpa,1,1,1,1,BRA,12,9,0,15,3042.46657676
wdpa,1,1,1,1,BRA,12,9,30,9,1519.70544437
admin,1,1,1,1,BRA,12,9,20,14,81980.9291517
wdpa,1,1,1,1,BRA,12,9,25,16,3801.80316928
ifl_2013,1,1,1,1,BRA,12,9,25,17,1520.4036582
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,3,761.110102908
ifl_2013,1,1,1,1,BRA,12,9,50,6,16743.7343667
admin,1,1,1,1,BRA,12,9,75,1,79584076.8904
ifl_2013,1,1,1,1,BRA,12,9,25,5,761.0050243439999
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,13,27379.297644700004
admin,1,1,1,1,BRA,12,9,10,6,30368.1686578
admin,1,1,1,1,BRA,12,9,25,14,153322.741626
landmark,1,1,1,1,BRA,12,9,30,4,71447.0357655
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,1,1523.85389741
admin,1,1,1,1,BRA,12,9,75,15,25896753.2921
admin,1,1,1,1,BRA,12,9,10,13,50089.8602689
landmark,1,1,1,1,BRA,12,9,75,1,5723579.3636
wdpa,1,1,1,1,BRA,12,9,50,17,53229.350913199996
wdpa,1,1,1,1,BRA,12,9,10,8,6839.06241879
